***************** properties *****************
"insertproportion"="0"
"operationcount"="5000000"
"dotransactions"="true"
"readproportion"="0"
"scanproportion"="0"
"workload"="core"
"readallfields"="true"
"tikv.pd"="10.0.0.5:2379"
"threadcount"="512"
"recordcount"="1200000"
"updateproportion"="1"
"requestdistribution"="zipfian"
**********************************************
UPDATE - Takes(s): 9.7, Count: 73691, OPS: 7584.1, Avg(us): 67037, Min(us): 21893, Max(us): 382114, 99th(us): 135000, 99.9th(us): 369000, 99.99th(us): 381000
UPDATE - Takes(s): 19.7, Count: 135686, OPS: 6881.8, Avg(us): 75307, Min(us): 13354, Max(us): 1082011, 99th(us): 339000, 99.9th(us): 1028000, 99.99th(us): 1045000
UPDATE - Takes(s): 29.7, Count: 193293, OPS: 6504.5, Avg(us): 78053, Min(us): 11655, Max(us): 1413075, 99th(us): 821000, 99.9th(us): 1359000, 99.99th(us): 1395000
UPDATE - Takes(s): 39.7, Count: 246518, OPS: 6206.9, Avg(us): 82986, Min(us): 9858, Max(us): 1413075, 99th(us): 746000, 99.9th(us): 1353000, 99.99th(us): 1393000
UPDATE - Takes(s): 49.7, Count: 302477, OPS: 6083.9, Avg(us): 84573, Min(us): 9858, Max(us): 1521825, 99th(us): 730000, 99.9th(us): 1389000, 99.99th(us): 1436000
UPDATE - Takes(s): 59.7, Count: 371707, OPS: 6224.5, Avg(us): 82581, Min(us): 9647, Max(us): 1521825, 99th(us): 374000, 99.9th(us): 1383000, 99.99th(us): 1439000
UPDATE - Takes(s): 69.7, Count: 425338, OPS: 6100.9, Avg(us): 83628, Min(us): 9647, Max(us): 2498531, 99th(us): 564000, 99.9th(us): 1406000, 99.99th(us): 2479000
UPDATE - Takes(s): 79.7, Count: 499808, OPS: 6269.8, Avg(us): 81902, Min(us): 8978, Max(us): 2498531, 99th(us): 416000, 99.9th(us): 1392000, 99.99th(us): 2464000
UPDATE - Takes(s): 89.7, Count: 547246, OPS: 6099.7, Avg(us): 84163, Min(us): 8746, Max(us): 2498531, 99th(us): 769000, 99.9th(us): 1617000, 99.99th(us): 2466000
UPDATE - Takes(s): 99.7, Count: 616177, OPS: 6179.3, Avg(us): 82526, Min(us): 8746, Max(us): 2498531, 99th(us): 556000, 99.9th(us): 1429000, 99.99th(us): 2465000
UPDATE - Takes(s): 109.7, Count: 662001, OPS: 6033.7, Avg(us): 84994, Min(us): 8746, Max(us): 2568453, 99th(us): 773000, 99.9th(us): 1424000, 99.99th(us): 2465000
