***************** properties *****************
"requestdistribution"="zipfian"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"threadcount"="512"
"operationcount"="5000000"
"workload"="core"
"readproportion"="0"
"insertproportion"="0"
"recordcount"="1200000"
"scanproportion"="0"
"readallfields"="true"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.5, Count: 25046, OPS: 2627.6, Avg(us): 165660, Min(us): 7535, Max(us): 3430993, 99th(us): 2779000, 99.9th(us): 3299000, 99.99th(us): 3411000
UPDATE - Takes(s): 19.5, Count: 33816, OPS: 1731.3, Avg(us): 279062, Min(us): 7457, Max(us): 7928368, 99th(us): 4847000, 99.9th(us): 7818000, 99.99th(us): 7901000
UPDATE - Takes(s): 29.5, Count: 42425, OPS: 1436.5, Avg(us): 320038, Min(us): 7457, Max(us): 7928368, 99th(us): 5217000, 99.9th(us): 7754000, 99.99th(us): 7901000
UPDATE - Takes(s): 39.5, Count: 49975, OPS: 1264.1, Avg(us): 361835, Min(us): 6053, Max(us): 8094206, 99th(us): 5997000, 99.9th(us): 7835000, 99.99th(us): 8028000
UPDATE - Takes(s): 49.5, Count: 55072, OPS: 1111.8, Avg(us): 449859, Min(us): 6053, Max(us): 15715317, 99th(us): 7868000, 99.9th(us): 14694000, 99.99th(us): 15661000
UPDATE - Takes(s): 59.5, Count: 58453, OPS: 981.9, Avg(us): 474558, Min(us): 6053, Max(us): 15715317, 99th(us): 8968000, 99.9th(us): 14672000, 99.99th(us): 15661000
UPDATE - Takes(s): 69.5, Count: 62603, OPS: 900.3, Avg(us): 522803, Min(us): 6053, Max(us): 15715317, 99th(us): 10124000, 99.9th(us): 15561000, 99.99th(us): 15661000
UPDATE - Takes(s): 79.5, Count: 64768, OPS: 814.3, Avg(us): 546343, Min(us): 6053, Max(us): 15715317, 99th(us): 10844000, 99.9th(us): 15563000, 99.99th(us): 15664000
UPDATE - Takes(s): 89.5, Count: 69703, OPS: 778.5, Avg(us): 610153, Min(us): 6053, Max(us): 17860059, 99th(us): 13939000, 99.9th(us): 16924000, 99.99th(us): 17304000
UPDATE - Takes(s): 99.5, Count: 71141, OPS: 714.7, Avg(us): 628856, Min(us): 6053, Max(us): 17860059, 99th(us): 14494000, 99.9th(us): 16923000, 99.99th(us): 17212000
UPDATE - Takes(s): 109.5, Count: 72766, OPS: 664.3, Avg(us): 649742, Min(us): 6053, Max(us): 38259257, 99th(us): 14824000, 99.9th(us): 16949000, 99.99th(us): 38061000
UPDATE - Takes(s): 119.5, Count: 73899, OPS: 618.2, Avg(us): 654004, Min(us): 6053, Max(us): 38259257, 99th(us): 14774000, 99.9th(us): 16948000, 99.99th(us): 38061000
