***************** properties *****************
"operationcount"="500000"
"insertproportion"="0"
"threadcount"="1"
"readproportion"="0"
"recordcount"="500000"
"updateproportion"="1"
"scanproportion"="0"
"dotransactions"="true"
"requestdistribution"="uniform"
"workload"="core"
"readallfields"="true"
"tikv.pd"="10.0.0.23:2379"
**********************************************
UPDATE - Takes(s): 9.8, Count: 5308, OPS: 540.4, Avg(us): 1864, Min(us): 856, Max(us): 178243, 99th(us): 11000, 99.9th(us): 24000, 99.99th(us): 179000
UPDATE - Takes(s): 19.8, Count: 11362, OPS: 573.2, Avg(us): 1741, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 25000, 99.99th(us): 31000
UPDATE - Takes(s): 29.8, Count: 17541, OPS: 588.2, Avg(us): 1691, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 25000, 99.99th(us): 54000
UPDATE - Takes(s): 39.8, Count: 23464, OPS: 589.2, Avg(us): 1686, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 25000, 99.99th(us): 33000
UPDATE - Takes(s): 49.8, Count: 29083, OPS: 583.7, Avg(us): 1700, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 25000, 99.99th(us): 54000
UPDATE - Takes(s): 59.8, Count: 34667, OPS: 579.5, Avg(us): 1712, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 26000, 99.99th(us): 48000
UPDATE - Takes(s): 69.8, Count: 40844, OPS: 585.0, Avg(us): 1695, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 26000, 99.99th(us): 47000
UPDATE - Takes(s): 79.8, Count: 47615, OPS: 596.5, Avg(us): 1662, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 26000, 99.99th(us): 47000
UPDATE - Takes(s): 89.8, Count: 53452, OPS: 595.1, Avg(us): 1665, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 25000, 99.99th(us): 46000
UPDATE - Takes(s): 99.8, Count: 59026, OPS: 591.3, Avg(us): 1676, Min(us): 769, Max(us): 178243, 99th(us): 10000, 99.9th(us): 25000, 99.99th(us): 35000
UPDATE - Takes(s): 109.8, Count: 64578, OPS: 588.0, Avg(us): 1685, Min(us): 751, Max(us): 178243, 99th(us): 10000, 99.9th(us): 25000, 99.99th(us): 38000
