***************** properties *****************
"tikv.pd"="10.0.0.22:2379"
"insertproportion"="0"
"recordcount"="1200000"
"readallfields"="true"
"readproportion"="0"
"workload"="core"
"threadcount"="512"
"operationcount"="5000000"
"dotransactions"="true"
"scanproportion"="0"
"updateproportion"="1"
"requestdistribution"="zipfian"
**********************************************
UPDATE - Takes(s): 9.7, Count: 61768, OPS: 6373.9, Avg(us): 82490, Min(us): 23924, Max(us): 482444, 99th(us): 141000, 99.9th(us): 401000, 99.99th(us): 466000
UPDATE - Takes(s): 19.7, Count: 114063, OPS: 5792.7, Avg(us): 89502, Min(us): 18553, Max(us): 1026716, 99th(us): 384000, 99.9th(us): 997000, 99.99th(us): 1020000
UPDATE - Takes(s): 29.7, Count: 178807, OPS: 6022.3, Avg(us): 84929, Min(us): 13546, Max(us): 1026716, 99th(us): 252000, 99.9th(us): 995000, 99.99th(us): 1013000
UPDATE - Takes(s): 39.7, Count: 206460, OPS: 5201.6, Avg(us): 98874, Min(us): 13546, Max(us): 1456258, 99th(us): 884000, 99.9th(us): 1259000, 99.99th(us): 1437000
UPDATE - Takes(s): 49.7, Count: 271819, OPS: 5470.2, Avg(us): 94099, Min(us): 13546, Max(us): 1456258, 99th(us): 508000, 99.9th(us): 1251000, 99.99th(us): 1434000
UPDATE - Takes(s): 59.7, Count: 310182, OPS: 5196.5, Avg(us): 97973, Min(us): 13546, Max(us): 1456258, 99th(us): 883000, 99.9th(us): 1314000, 99.99th(us): 1432000
UPDATE - Takes(s): 69.7, Count: 375153, OPS: 5383.1, Avg(us): 95468, Min(us): 13546, Max(us): 1456258, 99th(us): 806000, 99.9th(us): 1312000, 99.99th(us): 1430000
UPDATE - Takes(s): 79.7, Count: 421987, OPS: 5295.3, Avg(us): 97008, Min(us): 10373, Max(us): 1587856, 99th(us): 879000, 99.9th(us): 1495000, 99.99th(us): 1573000
UPDATE - Takes(s): 89.7, Count: 483022, OPS: 5385.4, Avg(us): 95331, Min(us): 10373, Max(us): 1587856, 99th(us): 834000, 99.9th(us): 1477000, 99.99th(us): 1571000
UPDATE - Takes(s): 99.7, Count: 531413, OPS: 5330.6, Avg(us): 96282, Min(us): 10373, Max(us): 1587856, 99th(us): 872000, 99.9th(us): 1437000, 99.99th(us): 1571000
UPDATE - Takes(s): 109.7, Count: 590531, OPS: 5383.6, Avg(us): 95323, Min(us): 10373, Max(us): 1587856, 99th(us): 833000, 99.9th(us): 1420000, 99.99th(us): 1569000
UPDATE - Takes(s): 119.7, Count: 635316, OPS: 5308.0, Avg(us): 96667, Min(us): 10373, Max(us): 1587856, 99th(us): 856000, 99.9th(us): 1409000, 99.99th(us): 1569000
UPDATE - Takes(s): 129.7, Count: 671879, OPS: 5180.6, Avg(us): 98887, Min(us): 10373, Max(us): 1587856, 99th(us): 842000, 99.9th(us): 1401000, 99.99th(us): 1568000
UPDATE - Takes(s): 139.7, Count: 715028, OPS: 5118.6, Avg(us): 99385, Min(us): 10373, Max(us): 1587856, 99th(us): 825000, 99.9th(us): 1391000, 99.99th(us): 1567000
UPDATE - Takes(s): 149.7, Count: 755070, OPS: 5044.2, Avg(us): 101665, Min(us): 10373, Max(us): 1587856, 99th(us): 853000, 99.9th(us): 1386000, 99.99th(us): 1565000
UPDATE - Takes(s): 159.7, Count: 815752, OPS: 5108.3, Avg(us): 100382, Min(us): 10373, Max(us): 1587856, 99th(us): 834000, 99.9th(us): 1376000, 99.99th(us): 1563000
UPDATE - Takes(s): 169.7, Count: 860460, OPS: 5070.7, Avg(us): 101091, Min(us): 10373, Max(us): 1994288, 99th(us): 858000, 99.9th(us): 1500000, 99.99th(us): 1925000
UPDATE - Takes(s): 179.7, Count: 918802, OPS: 5113.1, Avg(us): 100271, Min(us): 10373, Max(us): 1994288, 99th(us): 837000, 99.9th(us): 1492000, 99.99th(us): 1925000
UPDATE - Takes(s): 189.7, Count: 955353, OPS: 5036.4, Avg(us): 101789, Min(us): 10373, Max(us): 1994288, 99th(us): 862000, 99.9th(us): 1464000, 99.99th(us): 1921000
UPDATE - Takes(s): 199.7, Count: 1013908, OPS: 5077.4, Avg(us): 100947, Min(us): 10373, Max(us): 1994288, 99th(us): 840000, 99.9th(us): 1432000, 99.99th(us): 1923000
UPDATE - Takes(s): 209.7, Count: 1062670, OPS: 5067.8, Avg(us): 101141, Min(us): 10373, Max(us): 1994288, 99th(us): 860000, 99.9th(us): 1417000, 99.99th(us): 1922000
UPDATE - Takes(s): 219.7, Count: 1122021, OPS: 5107.3, Avg(us): 100359, Min(us): 10373, Max(us): 1994288, 99th(us): 838000, 99.9th(us): 1407000, 99.99th(us): 1922000
UPDATE - Takes(s): 229.7, Count: 1143963, OPS: 4980.4, Avg(us): 102830, Min(us): 10373, Max(us): 1994288, 99th(us): 855000, 99.9th(us): 1402000, 99.99th(us): 1922000
UPDATE - Takes(s): 239.7, Count: 1167299, OPS: 4870.0, Avg(us): 105202, Min(us): 10373, Max(us): 1994288, 99th(us): 875000, 99.9th(us): 1436000, 99.99th(us): 1921000
UPDATE - Takes(s): 249.7, Count: 1224039, OPS: 4902.2, Avg(us): 104360, Min(us): 10373, Max(us): 1994288, 99th(us): 859000, 99.9th(us): 1434000, 99.99th(us): 1921000
UPDATE - Takes(s): 259.7, Count: 1260712, OPS: 4854.7, Avg(us): 105561, Min(us): 10373, Max(us): 1994288, 99th(us): 881000, 99.9th(us): 1427000, 99.99th(us): 1913000
